"Título","CODIGO MOLDE","DEFECTOS A REPARAR","FECHA ENTRADA","FECHA ESPERADA","FECHA ENTREGA","ESTADO","OBSERVACIONES","Usuario","Recibido","Prioridad","H altura de pestaña","Created","Responsable","Tipo de reparacion","Tipo","ID","espesor_pestana","espesor_bowl","espesor_fondo","espesor_parte_plana","espesor_angulos","espesor_radios","Modified","Created By","Modified By"
"MOLDE PLAQUITA PARA LVM GENOVA 63X48","218-08","Modificación al molde, , , , , ","2/16/2026","3/10/2026",,"En espera - Moldes","Modificación altura de molde (pieza de 12 mm). Se inicia el 27/02 que se define con comercial trabajr esta nueva forma de placas.","Jakeline  Chaverra Soto",,"18,712","20.00","12/18/2025 10:08 AM","Bernardo Alfredo Restrepo Calle ","Especial","Molde","38913","0","0","0","0","0","0","2/27/2026 1:54 PM","Jakeline Chaverra Soto","Sara María Aguilar Sierra"
"MOLDE LAVAPLATOS KOA 63X51 1 BOWL","0197-10","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,020","250.00","1/17/2026 7:48 AM","Lina Osorio","Rapida","Molde","39646","0","0","0","0","0","0","1/17/2026 8:17 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAPLATOS KOA 63X51 1 BOWL","0197-11","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,021","10.00","1/17/2026 7:48 AM","Lina Osorio","Rapida","Molde","39647","0","0","0","0","0","0","1/17/2026 8:19 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAPLATOS KOA 63X51 1 BOWL","0197-05","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,022","19.00","1/17/2026 7:49 AM","Lina Osorio","Rapida","Molde","39648","0","0","0","0","0","0","1/17/2026 8:18 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS ECO 40X30","202-02","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,023","25.00","1/17/2026 7:50 AM","Lina Osorio","Rapida","Molde","39649","0","0","0","0","0","0","1/17/2026 11:21 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVAMANOS GENOVA 63X48","0193-06","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,024","5.90","1/17/2026 7:52 AM","Lina Osorio","Rapida","Molde","39650","0","0","0","0","0","0","1/17/2026 11:22 AM","Mantenimiento","Mantenimiento"
"MOLDE MESON COCINA 150X60 V.2 - PERF-CUB","231-01","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,025","30.00","1/17/2026 7:52 AM","Lina Osorio","Rapida","Molde","39651","0","0","0","0","0","0","1/17/2026 9:55 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-28","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,026","45.00","1/17/2026 7:53 AM","Lina Osorio","Rapida","Molde","39652","0","0","9,990","0","0","0","1/17/2026 11:19 AM","Mantenimiento","Mantenimiento"
"MOLDE MESON COCINA 150X60 V.2 - PERF-CUB","231-02","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,027","28.00","1/17/2026 7:54 AM","Lina Osorio","Rapida","Molde","39653","0","0","0","0","0","0","1/17/2026 10:21 AM","Mantenimiento","Mantenimiento"
"MOLDE LAVARROPAS ECO 60X60","0106-33","Limpieza de masa sin gelar, ","1/17/2026","1/17/2026","1/17/2026","Entregado",,"Lina Osorio",,"19,028","45.00","1/17/2026 7:55 AM","Lina Osorio","Rapida","Molde","39654","0","0","0","90","0","0","1/17/2026 12:22 PM","Mantenimiento","Mantenimiento"
