"Número de serie","Planta","Número de artículo","Estado","Estado Molde","Captura","Vueltas MTO","peso masa","Peso resina cargada","Altura de pestaña molde","Creado","Modificado","Comentarios","Usuario activo","Vueltas","Vueltas desmanchado","Vueltas reparacion","Vueltas totales","Acabado","Tipo de molde","Aplicación modificada por","Creado por","Modificado por","modificadoDesde","Masa ADM"
"202-01","MS","MOLDE LAVAMANOS ECO 40X30","Disponible","Activo","False","28","2.7",,"20.00","4/26/2021 2:26 PM","3/17/2026 11:34 AM",,,"4","0","0","1,104","Brillante",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"202-06","MS","MOLDE LAVAMANOS ECO 40X30","Disponible","Activo","False","28","2.7",,"25.00","4/26/2021 2:26 PM","3/17/2026 11:34 AM",,,"9","0","0","1,004","Brillante",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"00944","MS","MOLDE MESON ECO 150X55 MATE SIN PERF","Disponible","Activo","False","36","24",,"35.00","4/26/2021 2:25 PM","3/17/2026 11:34 AM",,,"5","0","0","172","Brillante",,"Microsoft Power Platform","Alejandro Isaza","Administrador Global","supabase",
"0124-49","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36",,,"45.00","1/29/2025 5:46 PM","3/17/2026 11:34 AM",,,"24","0","0","769","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0124-28","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36","7.5",,"30.00","3/3/2023 7:49 AM","3/17/2026 11:34 AM",,,"11","0","0","1,688","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"01150","MS","MOLDE LAVARROPAS 48X51W BRILLANTE","Disponible","Activo","False","28",,,"47.00","9/25/2024 12:14 PM","3/17/2026 11:34 AM",,,"14","0","0","475","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"215-03","MS","MOLDE LAVAMANOS OSLO 155X48","Disponible","Activo","False","28","34.1",,"60.00","3/14/2023 11:04 AM","3/17/2026 11:34 AM",,,"11","0","0","376","Brillante",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"00901","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36",,,"40.00","4/24/2025 8:20 AM","3/17/2026 11:34 AM",,,"15","0","0","375","Mate",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0124-37","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36","7.5",,"40.00","10/12/2023 8:01 AM","3/17/2026 11:34 AM",,,"14","0","0","1,298","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"0124-29","MS","MOLDE LAVARROPAS ECO 46X51","Disponible","Activo","False","36","7.5",,"40.00","3/24/2023 8:00 AM","3/17/2026 11:34 AM",,,"5","0","0","1,607","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
"1162-10","MS","MOLDE MESON ECO 120X55 BRILLANTE","Disponible","Activo","False","28",,,"20.00","9/17/2025 7:30 AM","3/17/2026 11:34 AM",,,"10","0","0","31","Brillante",,"Microsoft Power Platform","Jakeline Chaverra Soto","Administrador Global","supabase",
"0106-21","MS","MOLDE LAVARROPAS ECO 60X60","Disponible","Activo","False","36","12.3",,"45.00","12/15/2022 12:06 PM","3/17/2026 11:34 AM",,,"17","0","0","1,252","Mate",,"Microsoft Power Platform","Juliana Muñoz Vasquez","Administrador Global","supabase",
